item_id	item_name	trade	comments						
5.21062E+11	【6罐包税直邮】法国伴宝乐Babybio Primea 2段标准有机奶粉	0	0						
5.28168E+11	法国代购包税直邮 伴宝乐/BABYBIO 2段标准 有机婴儿奶粉6-12个月	0	0						
5.36209E+11	Babybio伴宝乐OPTIMA RELAIS 2 标准型有机奶粉2段/4罐法国直邮	0	7						
5.3105E+11	法国直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	0	0						
5.40414E+11	法国直邮 babybio 伴宝乐 2段 标准型奶粉 有机配方900克	4	20						
13923946163	6罐包法国直邮 高端BIO奶粉 Babybio标准2二段900克 只直邮	0	0						
5.52137E+11	法国直邮包邮包税Babybio伴宝乐PRIMEA2段标准有机奶粉婴幼儿宝宝	0	0						
37441287088	Babybio伴宝乐Croissance 3段有机奶粉/法国直邮4罐包邮/包税另算	614	2050						
5.30404E+11	国内现货 伴宝乐BABYBIO 有机标准配方奶粉 2段 6月+	0	0						
5.32029E+11	法国直邮包邮包税Babybio伴宝乐Croissance3段绿色有机奶粉三段	393	415						
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	9	71						
5.20503E+11	代购 babybio伴宝乐有机奶粉2段标准型900克6个直邮	0	2						
5.39531E+11	【巴黎直代】法国原装伴宝乐Babybio 2段标准配方奶粉【6罐减66】	0	1						
5.37339E+11	伴宝乐标准型型有机奶粉2段 Babybio primea2  6罐直邮	0	0						
5.48869E+11	法国Babybio伴宝乐PRIMEA 2段标准型天然有机婴儿奶粉6罐直邮包税	0	0						
5.3317E+11	Babybio伴宝乐PRIMEA有机奶粉二段2段标准配方900g法国直邮/现货	0	0						
5.25708E+11	法国代购6罐直邮/原装伴宝乐babybio高端有机奶粉2段 标准型配方	0	2						
45408243853	【法国直邮】 babybio 伴宝乐 bio标准2段奶粉 新配方	0	0						
5.43846E+11	法国直邮-代购法国babybio伴宝乐有机2段标准型奶粉6个月到12个月	0	3						
5.51035E+11	[6罐包税直邮]伴宝乐Babybio Primea DHA有机奶粉 标准2段 900g	0	0						
26728528044	法国直邮6罐包邮babybio伴宝乐2段optima有机天然标准奶粉6-10月	0	0						
5.37396E+11	法国直邮包邮 Babybio 伴宝乐标准型有机奶粉2段/ 6-18月/900g	0	0						
5.47143E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	0	0						
5.21081E+11	法国直邮代购 babybio伴宝乐有机二段奶粉 标准版2段  900g	0	0						
5.46662E+11	法国代购直邮/包税 伴宝乐Babybio2段标准有机奶粉6-12月900g罐装	0	0						
5.25213E+11	【法国代购 】Babybio 伴宝乐 有机标准2段奶粉 900g 6-12月	0	0						
5.42258E+11	法国直邮 法国Babybio伴宝乐标准型有机奶粉2段900g6罐包邮	0	1						
5.52344E+11	【法国直邮】伴宝乐Babybio 2段高端标准有机奶粉/6-12个月/900g	0	0						
43690892190	法国代购直邮伴宝乐babybio 2段标准配方有机奶粉6罐包邮900g	0	0						
45387594005	【定购】法国代购babybio伴宝乐有机奶粉2段标准型900克6个直邮	0	3						
5.23028E+11	法国代购直邮/伴宝乐Babybio Primea 2段标准有机奶粉/6-12月	12	8						
5.23224E+11	【6桶直邮】法国伴宝乐babybio有机婴儿奶粉标准2段6-12个月900g	0	0						
5.23988E+11	海外直邮法国代购babybio伴宝乐有机奶粉 二段900g标准型罐装包邮	0	1						
