item_id	item_name	trade	comments						
5.52137E+11	法国进口包邮包税Babybio伴宝乐PRIMEA2段标准有机奶粉婴幼儿宝宝	0	0						
5.21081E+11	法国直邮代购 babybio伴宝乐有机二段奶粉 标准版2段  900g	4	0						
45387594005	【定购】法国代购babybio伴宝乐有机奶粉2段标准型900克6个直邮	0	3						
5.23028E+11	法国代购直邮/伴宝乐Babybio Primea 2段标准有机奶粉/6-12月	-	9						
5.23988E+11	海外直邮法国代购babybio伴宝乐有机奶粉 二段900g标准型罐装包邮	0	1						
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	36	71						
5.4625E+11	法国直邮代购伴宝乐babybio2段二段标准成长型有机牛奶粉 包邮	0	0						
5.21732E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	-	71						
37441287088	Babybio伴宝乐Croissance 3段有机奶粉/法国直邮4罐包邮/包税另算	756	2070						
5.32029E+11	法国进口包邮包税Babybio伴宝乐Croissance3段绿色有机奶粉三段	-	447						
5.48174E+11	现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉	0	1						
5.44135E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月/900g	6	16						
5.36209E+11	Babybio伴宝乐OPTIMA RELAIS 2 标准型有机奶粉2段/4罐法国直邮	0	7						
5.20352E+11	法国直邮babybio伴宝乐 2段（6-12月）标准型奶粉900克6罐包税邮	0	8						
5.40414E+11	法国直邮 babybio 伴宝乐 2段 标准型奶粉 有机配方900克	0	21						
5.51608E+11	法国babybio伴宝乐奶粉 标准型二段 900g 六罐装 包邮	0	0						
5.20503E+11	代购 babybio伴宝乐有机奶粉2段标准型900克6个直邮	-	2						
5.3317E+11	Babybio伴宝乐PRIMEA有机奶粉二段2段标准配方900g法国直邮/现货	0	0						
5.25708E+11	法国代购6罐直邮/原装伴宝乐babybio高端有机奶粉2段 标准型配方	-	2						
45408243853	【法国直邮】 babybio 伴宝乐 bio标准2段奶粉 新配方	-	0						
5.43846E+11	法国直邮-代购法国babybio伴宝乐有机2段标准型奶粉6个月到12个月	0	3						
5.51035E+11	[6罐包税直邮]伴宝乐Babybio Primea DHA有机奶粉 标准2段 900g	0	0						
5.48869E+11	法国Babybio伴宝乐PRIMEA 2段标准型天然有机婴儿奶粉6罐直邮包税	0	0						
26728528044	法国直邮6罐包邮babybio伴宝乐2段optima有机天然标准奶粉6-10月	0	0						
5.47143E+11	Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算	0	0						
5.46662E+11	法国代购直邮/包税 伴宝乐Babybio2段标准有机奶粉6-12月900g罐装	0	0						
5.25213E+11	【法国代购 】Babybio 伴宝乐 有机标准2段奶粉 900g 6-12月	0	0						
5.42258E+11	法国直邮 法国Babybio伴宝乐标准型有机奶粉2段900g6罐包邮	-	1						
5.52344E+11	【法国直邮】伴宝乐Babybio 2段高端标准有机奶粉/6-12个月/900g	-	0						
43690892190	法国代购直邮伴宝乐babybio 2段标准配方有机奶粉6罐包邮900g	0	0						
5.23224E+11	【6桶直邮】法国伴宝乐babybio有机婴儿奶粉标准2段6-12个月900g	-	0						
5.50067E+11	【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月 900g	0	0						
5.2307E+11	法国代购直邮/法国原装伴宝乐babybio高端有机奶粉2段 标准型配方	0	0						
5.24439E+11	法国妹妹直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月	0	1						
